,,,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Per,Per,Per,Per,Per,Expe,Expe,Expe,Expe,Per,Per,Per,Per,Per
Squad,# Pl,Poss,MP,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
gr AEK Athens,20,40.5,6,2,2,2,0,0,13,2,0.33,0.33,0.67,0.33,0.67,4.1,4.1,3.7,7.8,0.68,0.62,1.30,0.68,1.30
nl Ajax,22,53.3,12,22,17,20,2,2,17,1,1.83,1.42,3.25,1.67,3.08,21.9,20.4,16.6,37.0,1.83,1.39,3.21,1.70,3.08
es Atlético Madrid,21,49.0,8,11,8,11,0,0,17,1,1.37,1.00,2.37,1.37,2.37,7.7,7.7,5.8,13.5,0.96,0.73,1.69,0.96,1.69
es Barcelona,23,61.3,12,25,18,24,1,1,3,1,2.08,1.50,3.58,2.00,3.50,22.9,22.1,17.2,39.3,1.90,1.43,3.34,1.84,3.28
de Bayern Munich,20,56.8,8,15,9,13,2,2,9,1,1.87,1.13,3.00,1.62,2.75,12.9,11.4,9.0,20.5,1.62,1.13,2.75,1.43,2.56
pt Benfica,20,44.5,6,6,3,6,0,0,14,1,1.00,0.50,1.50,1.00,1.50,8.2,8.2,6.7,14.9,1.36,1.11,2.48,1.36,2.48
be Club Brugge,25,40.2,6,6,3,5,1,1,8,0,1.00,0.50,1.50,0.83,1.33,5.1,4.4,3.2,7.6,0.85,0.53,1.38,0.73,1.26
ru CSKA Moscow,22,44.7,6,8,5,6,2,2,14,2,1.33,0.83,2.17,1.00,1.83,7.1,5.6,4.7,10.3,1.19,0.78,1.97,0.93,1.71
de Dortmund,24,60.6,8,10,8,10,0,1,10,0,1.25,1.00,2.25,1.25,2.25,11.6,10.8,9.5,20.3,1.45,1.18,2.63,1.35,2.54
tr Galatasaray,21,53.8,6,5,2,3,2,3,14,1,0.83,0.33,1.17,0.50,0.83,9.1,6.8,5.7,12.5,1.52,0.95,2.47,1.14,2.09
de Hoffenheim,25,44.8,6,11,7,10,1,1,13,2,1.83,1.17,3.00,1.67,2.83,10.9,10.2,7.7,17.9,1.82,1.29,3.11,1.69,2.98
it Inter,17,47.0,6,6,4,6,0,0,15,0,1.00,0.67,1.67,1.00,1.67,8.8,8.8,6.9,15.7,1.47,1.15,2.62,1.47,2.62
it Juventus,22,55.0,10,14,11,11,3,3,11,1,1.40,1.10,2.50,1.10,2.20,18.0,15.9,12.0,27.9,1.80,1.20,3.00,1.59,2.79
eng Liverpool,20,51.6,13,24,17,20,4,5,13,0,1.85,1.31,3.15,1.54,2.85,23.9,20.0,14.3,34.3,1.84,1.10,2.94,1.54,2.63
ru Loko Moscow,19,45.7,6,3,2,3,0,1,16,1,0.50,0.33,0.83,0.50,0.83,6.8,6.0,4.6,10.6,1.13,0.77,1.90,1.00,1.77
fr Lyon,21,43.9,8,13,9,13,0,0,4,0,1.62,1.13,2.75,1.62,2.75,12.1,12.1,9.0,21.1,1.51,1.13,2.64,1.51,2.64
eng Manchester City,21,63.2,10,30,20,27,3,4,3,1,3.00,2.00,5.00,2.70,4.70,22.2,19.2,16.2,35.5,2.22,1.62,3.85,1.92,3.55
eng Manchester Utd,26,45.5,10,9,5,7,2,2,3,1,0.90,0.50,1.40,0.70,1.20,10.9,9.4,6.4,15.8,1.09,0.64,1.73,0.94,1.58
fr Monaco,29,44.8,6,2,1,2,0,1,13,0,0.33,0.17,0.50,0.33,0.50,4.7,4.0,3.0,7.0,0.78,0.51,1.29,0.66,1.17
it Napoli,18,56.2,6,7,5,6,1,1,13,0,1.17,0.83,2.00,1.00,1.83,10.1,9.3,7.2,16.5,1.68,1.21,2.88,1.55,2.76
fr Paris S-G,20,58.6,8,19,14,19,0,0,11,0,2.37,1.75,4.12,2.37,4.12,15.0,15.0,12.2,27.3,1.88,1.53,3.41,1.88,3.41
pt Porto,25,53.0,10,20,15,16,4,5,12,0,1.94,1.45,3.39,1.55,3.00,15.9,12.1,9.7,21.8,1.54,0.94,2.48,1.17,2.11
nl PSV Eindhoven,18,32.5,6,6,5,6,0,0,14,0,1.00,0.83,1.83,1.00,1.83,7.3,7.3,4.7,12.0,1.22,0.79,2.00,1.22,2.00
es Real Madrid,24,62.0,8,15,12,15,0,0,8,1,1.87,1.50,3.38,1.87,3.38,14.2,14.2,12.5,26.7,1.77,1.57,3.34,1.77,3.34
rs Red Star,20,30.7,6,5,3,5,0,0,17,0,0.83,0.50,1.33,0.83,1.33,2.7,2.7,2.1,4.8,0.45,0.35,0.80,0.45,0.80
it Roma,24,49.4,8,14,12,13,1,1,6,1,1.68,1.44,3.12,1.56,3.00,13.9,13.1,10.2,23.4,1.67,1.23,2.89,1.58,2.80
de Schalke 04,27,42.0,8,8,4,5,3,3,12,0,1.00,0.50,1.50,0.62,1.13,10.2,7.9,4.6,12.6,1.28,0.58,1.85,0.99,1.57
ua Shakhtar,20,49.0,6,8,8,8,0,0,10,0,1.33,1.33,2.67,1.33,2.67,5.7,5.7,4.7,10.4,0.95,0.78,1.73,0.95,1.73
eng Tottenham,24,52.4,13,20,17,20,0,0,2,0,1.54,1.31,2.85,1.54,2.85,19.2,19.2,14.0,33.2,1.48,1.08,2.56,1.48,2.56
es Valencia,22,50.2,6,5,2,5,0,1,20,0,0.83,0.33,1.17,0.83,1.17,6.6,5.8,4.4,10.2,1.10,0.73,1.83,0.97,1.69
cz Viktoria Plzeň,21,38.8,6,7,6,7,0,1,10,0,1.17,1.00,2.17,1.17,2.17,7.0,6.3,5.0,11.3,1.17,0.83,2.00,1.04,1.88
ch Young Boys,20,41.5,6,4,1,2,2,2,15,2,0.67,0.17,0.83,0.33,0.50,7.1,5.6,4.2,9.8,1.18,0.70,1.88,0.93,1.63

